Missile_ID,Missile_Name,Alternate_Name,Country_of_Origin,Country_of_Possession,Missile_Class,Missile_Type,Length_m,Launch_Weight_kg,Warhead_Type,Range_min_km,Range_max_km,Year_Introduced,Operational_Status,Launch_Basing,Diameter_m,Payload_kg,Propulsion_Type,Notes,
FRA011,Exocet MM40 Block 3,,France,France,Anti-Ship Cruise Missile,Strike,5.8,870,HE,200,200,2008,Operational,Ship/Coastal defense,0.35,165,Turbojet,Latest ship-launched Exocet,
FRA012,Meteor,,France/Europe,France/Europe,Beyond Visual Range Air-to-Air Missile,AAM,3.7,190,HE blast-fragmentation,100,200,2016,Operational,Air-launched,0.178,,Ramjet,Throttleable ducted rocket,
FRA013,MICA NG,,France,France,Air-to-Air Missile,AAM,3.1,112,HE blast-fragmentation,20,80,2026,Operational,Air-launched,0.16,,Solid dual-pulse,AESA seeker in radar variant,
FRA014,MICA,,France,France,Air-to-Air Missile,AAM,3.1,112,HE blast-fragmentation,20,60,1996,Operational,Air-launched,0.16,,Solid,Being replaced by MICA NG,
FRA015,Mistral,,France,France,Short-Range Air Defense,MAMPADS,1.86,19.5,HE with tungsten balls,6,6,1988,Operational,Man-portable/Vehicle/Helicopter,0.09,2.95,Solid,3rd generation since 2019,
FRA016,VL MICA,,France,France,Surface-to-Air Missile,Interceptor,3.1,112,HE blast-fragmentation,20,40,2024,Operational,Ground/Ship,0.16,,Solid,Ground-based MICA,
FRA017,Aster 15,,France/Europe,France/Europe,Surface-to-Air Missile,Interceptor,4.2,310,HE blast-fragmentation,30,50,2001,Operational,Ship,0.18,,Solid,PAAMS system; naval air defense,
FRA018,Aster 30,,France/Europe,France/Europe,Surface-to-Air Missile,Interceptor,4.9,450,HE blast-fragmentation,120,150,2002,Operational,Ship/Ground,0.18,,Solid,SAMP/T ground-based variant,
FRA019,AASM Hammer,Armement Air-Sol Modulaire,France,France,Precision-Guided Bomb,Strike,3.1,125,HE,15,70,2007,Operational,Air-launched,0.25,,Solid rocket booster,Modular air-to-ground weapon,
RUS001,RS-28 Sarmat,SS-X-30 Satan II,Russia,Russia,Intercontinental Ballistic Missile,Strike,35.5,200000,Nuclear,10000,18000,2023,Operational,Silo-based,3,10000,Liquid,World's longest-range ICBM; carries Avangard HGV,
RUS002,R-36M2 Voyevoda,SS-18 Satan,Russia,Russia,Intercontinental Ballistic Missile,Strike,34.3,211000,Nuclear,11000,16000,1988,Operational,Silo-based,3,8750,Liquid,Heaviest ICBM ever developed,
RUS003,UR-100N,SS-19 Stiletto,Russia,Russia,Intercontinental Ballistic Missile,Strike,24.3,105600,Nuclear,9000,9000,1975,Operational,Silo-based,2.5,4350,Liquid,Launch vehicle for Avangard HGV,
RUS004,RT-2PM Topol,SS-25 Sickle,Russia,Russia,Intercontinental Ballistic Missile,Strike,21.5,45100,Nuclear,10500,11000,1988,Operational,Road-mobile,1.8,1000,Three-stage solid,First Soviet mobile ICBM,
RUS005,RT-2PM2 Topol-M,SS-27 Sickle-B,Russia,Russia,Intercontinental Ballistic Missile,Strike,22.7,47200,Nuclear,11000,11000,1997,Operational,"Silo-based, road-mobile",1.9,1200,Three-stage solid,Deeply modernized Topol variant,
RUS006,RS-24 Yars,SS-27 Mod 2,Russia,Russia,Intercontinental Ballistic Missile,Strike,23,49600,Nuclear,10500,12000,2009,Operational,"Silo-based, road-mobile",2,1250,Three-stage solid,MIRV capability,
RUS007,RS-26 Rubezh,SS-X-31,Russia,Russia,Intermediate-Range Ballistic Missile,Strike,12,36000,Nuclear,5800,5800,2015,Operational,Road-mobile,1.8,800,Solid,Controversial range,
RUS008,RSM-56 Bulava,SS-NX-32,Russia,Russia,Submarine-Launched Ballistic Missile,Strike,12.1,36800,Nuclear,8300,9300,2013,Operational,Submarine,2,1150,Three-stage solid,Main SLBM for Russian Navy,
RUS009,9M723 Iskander-M,SS-26 Stone,Russia,Russia,Short-Range Ballistic Missile,Strike,7.2,3800,"HE, cluster, penetrating, nuclear",500,500,2006,Operational,Road-mobile,0.92,800,Single-stage solid,Multiple warhead variants,
RUS010,9M728 Iskander-K,SSC-7,Russia,Russia,Land-Attack Cruise Missile,Strike,7.2,2000,HE or cluster,500,500,2010,Operational,Road-mobile,0.5,480,Turbojet,Compatible with Iskander launcher,
RUS011,9M729 Iskander-K,SSC-8,Russia,Russia,Land-Attack Cruise Missile,Strike,8,2000,HE or nuclear,1500,2000,2015,Operational,Road-mobile,0.5,500,Turbojet,Extended range variant; INF Treaty violation cited,
RUS012,3M-14 Kalibr,SS-N-30A,Russia,Russia,Land-Attack Cruise Missile,Strike,6.2,1600,HE or nuclear,1500,2500,2012,Operational,"Ship, submarine",0.53,450,Turbojet,Club-K containerized variant,
RUS013,3M-54 Kalibr,SS-N-27A,Russia,Russia,Anti-Ship Cruise Missile,Strike,8.2,1950,HE,440,660,2012,Operational,"Ship, submarine",0.53,400,Turbojet + booster,Supersonic terminal variant,
RUS014,3M-14S,,Russia,Russia,Nuclear Land-Attack Cruise Missile,Strike,6.2,1700,Nuclear,2500,2500,2020,Operational,"Ship, submarine",0.53,450,Turbojet,Nuclear-armed Kalibr variant,
RUS015,Kh-101,AS-23A Kodiak,Russia,Russia,Air-Launched Cruise Missile,Strike,7.45,2400,HE,2800,4500,2013,Operational,Air-launched,0.74,400,Turbofan,Stealthy design; over 260 in inventory,
RUS016,Kh-102,AS-23B,Russia,Russia,Air-Launched Cruise Missile,Nuclear Strike,7.45,2400,Nuclear,2800,4500,2013,Operational,Air-launched,0.74,,Turbofan,Nuclear-armed Kh-101 variant,
RUS017,Kh-47M2 Kinzhal,AS-24 Killjoy,Russia,Russia,Air-Launched Ballistic Missile,Hypersonic Strike,8,4300,HE or nuclear,2000,3000,2017,Operational,Air-launched,1,480,Solid,Air-launched Iskander derivative; Mach 10-12,
RUS018,Kh-22,AS-4 Kitchen,Russia,Russia,Anti-Ship Cruise Missile,Strike,11.65,5780,HE or nuclear,600,600,1962,Operational,Air-launched,0.92,1000,Liquid,280+ Kh-22/Kh-32 in inventory,
RUS019,Kh-32,AS-4A Modernized,Russia,Russia,Anti-Ship Cruise Missile,Strike,11.65,6000,HE or nuclear,1000,1000,2016,Operational,Air-launched,0.92,500,Liquid,Modernized Kh-22; high-altitude approach,
RUS020,9M720 Izdeliye-30,,Russia,Russia,Air-Launched Cruise Missile,Strike,6,2500,HE,1500,1500,2025,Operational,Air-launched,0.5,800,Turbojet,Lower-cost Kh-101 alternative,
RUS021,3M22 Zircon,SS-N-33,Russia,Russia,Hypersonic Cruise Missile,Strike,9,4000,HE or nuclear,1000,1500,2022,Operational,"Ship, submarine",0.6,,Scramjet/Solid booster,First operational scramjet missile,
RUS022,9K720 Iskander-1000,,Russia,Russia,Theater Ballistic Missile,Strike,7.2,3800,HE or nuclear,1000,1000,2025,In development,Road-mobile,0.92,800,Solid,Extended-range Iskander variant,
RUS023,Kh-35U,AS-20 Kayak,Russia,Russia,Anti-Ship Cruise Missile,Strike,4.4,565,HE,260,300,2005,Operational,"Air, ship, ground",0.42,145,Turbojet,Export as Uran-E,
RUS024,9M79 Tochka-U,SS-21 Scarab,Russia,Russia,Short-Range Ballistic Missile,Strike,6.4,2010,HE/cluster/nuclear,120,185,1989,Operational Limited,Road-mobile,0.65,482,Single-stage solid,Being replaced by Iskander,
RUS025,Kh-55,AS-15 Kent,Russia,Russia,Air-Launched Cruise Missile,Strike,6.04,1700,Nuclear,2500,3000,1983,Operational Limited,Air-launched,0.77,410,Turbofan,Basis for Kh-101 development,
RUS026,Kh-555,AS-15B,Russia,Russia,Air-Launched Cruise Missile,Strike,6.04,1700,HE or cluster,2000,3500,2005,Operational,Air-launched,0.77,400,Turbofan,Conventional Kh-55 conversion,
RUS027,Grom-1,,Russia,Russia,Air-to-Surface Missile,Strike,3.5,600,HE,200,200,2025,Operational,Air-launched,0.3,300,Solid,Hybrid bomb-missile,
RUS028,S-300/400 series,,Russia,Russia,Surface-to-Air Missile,Interceptor,7.5,1900,HE fragmentation,200,400,1985,Operational,Ground,0.5,150,Solid,Can engage ballistic and cruise missiles,
RUS029,S-500 Prometheus,,Russia,Russia,Surface-to-Air/Anti-Ballistic Missile,Interceptor,8,2500,HE or nuclear,600,600,2021,Operational,Ground,0.6,,Solid,Advanced ABM capability,
IRN001,Sejjil,,Iran,Iran,Medium-Range Ballistic Missile,Strike,18,,HE,2000,2500,2008,Operational,Road-mobile,,1500,Solid,High-speed solid-fuel missile,
IRN002,Khorramshahr-4,Kheibar,Iran,Iran,Medium-Range Ballistic Missile,Strike,13,,HE,2000,2000,2023,Operational,Ground,1.3,1650,Liquid,Largest warhead in Iranian arsenal,
IRN003,Fattah,,Iran,Iran,Hypersonic Ballistic Missile,Strike,,,HE,1400,1400,2023,Operational,Ground,,,Solid,First Iranian hypersonic missile,
IRN004,Shahab-3,,Iran,Iran,Medium-Range Ballistic Missile,Strike,16,,HE,800,1300,2003,Operational,Ground,1.35,1000,Liquid,Core of Iran's MRBM arsenal,
IRN005,Emad,,Iran,Iran,Medium-Range Ballistic Missile,Strike,16,,HE,1700,1700,2015,Operational,Ground,,750,Liquid,Precision-guided Shahab-3 variant,
IRN006,Ghadr/Ghadr-110,,Iran,Iran,Medium-Range Ballistic Missile,Strike,16,,HE,2000,2000,2007,Operational,Ground,1.25,825,Liquid,Improved Shahab-3,
IRN007,Kheibar/Kheibarshekan,Khorramshahr-4,Iran,Iran,Medium-Range Ballistic Missile,Strike,11,,HE,1450,2000,2022,Operational,Ground,,1500,Solid,Solid-fuel missile,
IRN008,Haj Qasem,,Iran,Iran,Medium-Range Ballistic Missile,Strike,11,,HE,1400,1400,2020,Operational,Ground,,500,Solid,Named after Qasem Soleimani,
IRN009,Zolfaghar,,Iran,Iran,Short-Range Ballistic Missile,Strike,10,,HE,700,700,2017,Operational,Ground,,579,Solid,Precision-strike variant of Fateh-110,
IRN010,Fateh-110,,Iran,Iran,Short-Range Ballistic Missile,Strike,9,,HE,300,300,2002,Operational,Ground,0.61,550,Solid,Workhorse SRBM; multiple generations,
IRN011,Fateh-313,,Iran,Iran,Short-Range Ballistic Missile,Strike,9,,HE,500,500,2015,Operational,Ground,,380,Solid,Improved Fateh-110,
IRN012,Qiam-1,,Iran,Iran,Short-Range Ballistic Missile,Strike,11,,HE,800,800,2010,Operational,Ground,,750,Liquid,Finless design for rapid launch,
IRN013,Raad-500,,Iran,Iran,Short-Range Ballistic Missile,Strike,8,,HE,500,500,2020,Operational,Ground,,,Solid,Composite materials; cold-launch,
IRN014,Persian Gulf/Hormuz-1,,Iran,Iran,Anti-Ship Ballistic Missile,Strike,,,HE semi-armor piercing,300,300,2011,Operational,Coastal,,650,Solid,First-generation ASBM,
IRN015,Hormuz-2,,Iran,Iran,Anti-Ship Ballistic Missile,Strike,,,HE,300,300,2014,Operational,Coastal,,600,Solid,Anti-radiation variant,
IRN016,Soumar,,Iran,Iran,Land-Attack Cruise Missile,Strike,7,,HE,2000,2500,2015,Operational,Ground,,,Turbojet,Reverse-engineered Kh-55,
IRN017,Ya-Ali,,Iran,Iran,Cruise Missile,Strike,5,,HE,700,700,2015,Operational,Ground,,,Turbojet,Short-range cruise missile,
IRN018,Quds-1,,Iran,Iran,Cruise Missile,Strike,6,,HE,600,600,2019,Operational,Ground,,,Turbojet,Supplied to Houthis,
IRN019,Ra'ad,SSN-4,Iran,Iran,Anti-Ship Cruise Missile,Strike,7.36,3000,HE,350,350,2007,Operational,Ground/Ship,0.76,475,Turbojet + booster,Based on Chinese HY-4,
IRN020,Noor,,Iran,Iran,Anti-Ship Cruise Missile,Strike,6.38,715,HE,170,200,1991,Operational,Ground/Ship/Air,0.36,165,Solid,Improved Chinese C-801/C-802,
IRN021,Shahab-1,,Iran,Iran,Short-Range Ballistic Missile,Strike,10,,HE,300,300,1985,Operational,Ground,0.88,1000,Liquid,Based on Scud-B,
IRN022,Shahab-2,,Iran,Iran,Short-Range Ballistic Missile,Strike,11,,HE,500,500,1990,Operational,Ground,0.88,750,Liquid,Based on Scud-C,
IRN023,Fajr-3,,Iran,Iran,Artillery Rocket,Strike,5.2,,HE,43,43,1990,Operational,Ground,0.23,45,Solid,333mm caliber; 12-round launcher,
IRN024,Falaq-1,,Iran,Iran,Artillery Rocket,Strike,2.5,,HE,10,10,1990,Operational,Ground,0.24,50,Solid,240mm caliber,
IRN025,Falaq-2,,Iran,Iran,Artillery Rocket,Strike,2.5,,HE,10,10,2000,Operational,Ground,0.33,,Solid,333mm caliber,
IRN026,RAAD-T,,Iran,Iran,Anti-Tank Guided Missile,ATGM,1,11,HEAT,0.4,3,1997,Operational,Man-portable/Vehicle,0.12,,Solid,Improved Soviet Malyutka,
IRN027,Dehlavieh,9M133 Kornet copy,Iran,Iran,Anti-Tank Guided Missile,ATGM,1.2,,HEAT,5.5,5.5,2010,Operational,Man-portable/Vehicle,,,Solid,Reverse-engineered Russian Kornet,
IRN028,Toophan,BGM-71 TOW copy,Iran,Iran,Anti-Tank Guided Missile,ATGM,,,HEAT,3.5,4,2000,Operational,Man-portable/Vehicle,,,Solid,TOW reverse-engineered,
IRN029,Saeghe,M47 Dragon derivative,Iran,Iran,Anti-Tank Guided Missile,ATGM,,,HEAT,3,4,2005,Operational,Man-portable,,,Solid,Improvised Dragon copy,
IRN030,AD-08 Majid,,Iran,Iran,Short-Range Air Defense,Interceptor,2.67,75,HE fragmentation,8,8,2020,Operational,Ground,0.156,,Solid,Altitude 20m-6km; truck-mounted,
IRN031,Bavar-373,,Iran,Iran,Long-Range Surface-to-Air Missile,Interceptor,,,HE blast-fragmentation,300,300,2019,Operational,Ground,0.7,,Solid,Indigenous S-300 equivalent,
IRN032,Sayyad-2,,Iran,Iran,Surface-to-Air Missile,Interceptor,,,HE blast,60,100,2013,Operational,Ground,0.7,,Solid,Reverse-engineered SM-1,
IRN033,Sayyad-3,,Iran,Iran,Surface-to-Air Missile,Interceptor,,,HE blast,150,200,2016,Operational,Ground,0.7,,Solid,Improved Sayyad-2,
IRN034,Sayyad-4,,Iran,Iran,Surface-to-Air Missile,Interceptor,,,HE blast,300,300,2019,Operational,Ground,0.7,,Solid,For Bavar-373; two-stage,
IRN035,Sayyad-4B,,Iran,Iran,Surface-to-Air Missile,Interceptor,,,HE blast,400,400,2025,Operational,Ground,0.7,,Two-stage solid,Latest Sayyad variant,
GBR001,Storm Shadow,,UK/France,UK,Air-Launched Cruise Missile,Strike,5.1,1300,HE penetrating,250,560,2002,Operational,Air-launched,0.48,450,Turbojet,Conventional stand-off missile,
GBR002,Tomahawk,RGM/UGM-109,US/UK,UK,Land-Attack Cruise Missile,Strike,5.56,1500,HE or submunitions,1600,1600,1999,Operational,Ship (submarine),0.52,450,Turbofan,RN Astute/Trafalgar-class SSNs,
GBR003,SPEAR,,UK,UK,Miniature Cruise Missile,Strike,1.8,100,HE penetrating,100,100,2025,In development,Air-launched,0.18,,Turbojet,Can carry 8 on F-35; autonomous targeting,
GBR004,Brimstone,,UK,UK,Air-to-Surface Missile,Strike,1.8,50,HE tandem shaped charge,20,60,2005,Operational,Air-launched,0.18,,Solid,"60,000+ produced; dual-mode seeker",
GBR005,Sea Venom,,UK/France,UK,Anti-Ship Missile,Strike,2.5,110,HE blast/fragmentation,20,20,2025,Operational,Helicopter-launched,0.2,,Solid,Replaces Sea Skua,
GBR006,Martlet,LMM,UK,UK,Lightweight Multirole Missile,Strike,1.4,13,HE blast/fragmentation,6,9,2020,Operational,"Helicopter, ground, ship",0.076,,Solid,"1,000+ to Ukraine",
GBR007,CAMM,Land Ceptor,UK,UK,Surface-to-Air Missile,Interceptor,3.2,99,HE blast/fragmentation,25,25,2018,Operational,Ground,0.166,,Solid cold launch,Can hit tennis-ball target @ Mach 2,
GBR008,CAMM-ER,,UK/Italy,UK,Surface-to-Air Missile,Interceptor,4,160,HE blast/fragmentation,45,45,2024,Operational,Ground,0.19,,Solid,Extended range variant,
GBR009,Sea Ceptor,CAMM,UK,UK,Surface-to-Air Missile,Interceptor,3.2,99,HE blast/fragmentation,25,25,2016,Operational,Ship,0.166,,Solid cold launch,Replaces Sea Wolf; VLS launched,
GBR010,Sea Viper,Aster 15/30,UK/France,UK,Surface-to-Air Missile,Interceptor,4.2,310,HE blast-fragmentation,30,120,2013,Operational,Ship,0.18,,Solid,PAAMS system,
GBR011,Naval Strike Missile,NSM,Norway/UK,UK,Anti-Ship/Land-Attack Missile,Strike,3.96,407,HE,200,200,2025,Operational,Ship,0.32,125,Turbojet,Replaces Harpoon,
GBR012,Harpoon,RGM-84,US,UK,Anti-Ship Missile,Strike,4.63,691,HE,130,130,1985,Being replaced,Ship,0.34,221,Turbojet,Being replaced by NSM,
GBR013,Rapier,,UK,UK,Surface-to-Air Missile,Interceptor,2.24,45,HE blast fragmentation,8.2,8.2,1971,Retired,Ground,0.133,1.4,Solid,Replaced by Sky Sabre,
GBR014,Starstreak,,UK,UK,Short-Range Air Defense,MAMPADS,1.4,20,3 kinetic penetrators,5,7,1997,Operational,Man-portable/Stormer,0.13,,Solid,High-velocity; LMM supplementing,
GBR015,ASRAAM,AIM-132,UK,UK,Short-Range Air-to-Air Missile,AAM,2.9,88,HE blast-fragmentation,25,50,1998,Operational,Air-launched,0.166,10,Solid,LOAL capability; F-35 integration,
GBR016,Meteor,,UK/Europe,UK,Beyond Visual Range Air-to-Air Missile,AAM,3.7,190,HE blast-fragmentation,100,200,2016,Operational,Air-launched,0.178,,Ramjet,Throttleable ducted rocket,
GBR017,Sting Ray,,UK,UK,Lightweight Torpedo,ASW,2.6,267,HE shaped charge,11,11,1983,Operational,Air/ship-launched,0.324,45,Solid-fuel piston,Being replaced,
GBR018,SPEAR 3,,UK,UK,Miniature Cruise Missile,Strike,1.8,100,HE penetrating,100,100,2025,Operational,Air-launched,0.18,,Turbojet,SPEAR 3 Block 1 IOC achieved,
GBR019,Blue Steel,,UK,UK,Stand-off Nuclear Missile,Nuclear Strike,10.7,7270,Nuclear,240,240,1963,Retired,Air-launched,0.9,,Liquid,UK's only indigenous nuclear stand-off missile,
GBR020,Blue Streak,,UK,UK,Intermediate-Range Ballistic Missile,Strike,18.8,90000,Nuclear,3700,3700,1960,Cancelled,Silo-based,3.05,,Liquid,Became space launcher,
GBR021,Chevaline,,UK,UK,MRV upgrade system,Strike,,,,4600,4600,1982,Retired,Submarine,,,Solid,Polaris upgrade; 2 warheads + decoys,
GBR022,Trident II D5,UGM-133,US,UK,Submarine-Launched Ballistic Missile,Strike,13.5,59000,Nuclear,12000,12000,1994,Operational,Submarine,2.11,2800,3-stage solid,UK nuclear deterrent; leased from US,
GBR023,Polaris A3,UGM-27C,US,UK,Submarine-Launched Ballistic Missile,Strike,9.6,16000,Nuclear,4600,4600,1968,Retired,Submarine,1.37,,2-stage solid,Chevaline retrofitted,
GBR024,NLAW,MBT LAW,UK/Sweden,UK,Anti-Tank Guided Missile,ATGM,1.02,12.5,HE shaped charge,0.6,1,2009,Operational,Man-portable,0.15,,Solid,Overfly top-attack; disposable,
GBR025,Sea Dart,,UK,UK,Surface-to-Air Missile,Interceptor,4.4,550,HE,75,150,1973,Retired,Ship,0.42,,Ramjet,Replaced by Sea Viper,
GBR026,Sea Wolf,,UK,UK,Surface-to-Air Missile,Interceptor,2,82,HE,6,10,1979,Retired,Ship,0.18,,Solid,Replaced by Sea Ceptor,
